PDBchain   len  method   resol   rfac  freerfac
2Z6RB      265  XRAY       1.5  0.197  0.206
1EJ0A      180  XRAY       1.5  0.198  0.232
1F46B      140  XRAY       1.5  0.198  0.217
1ROCA      155  XRAY       1.5    0.2  0.246
2QHTA      210  XRAY       1.5  0.201  0.222
1V6SA      390  XRAY       1.5  0.202  0.215
1QW2A      102  XRAY       1.5  0.203  0.218
2CVIA       83  XRAY       1.5  0.203  0.231
6U2UA       46  XRAY       1.5  0.206  0.239
3U5SA      126  XRAY       1.5  0.207  0.244
5DLYA      266  XRAY       1.5  0.208  0.237
1GS5A      258  XRAY       1.5  0.209  0.213
2APCA      342  XRAY       1.5   0.21   0.22
5GS7A      323  XRAY       1.5   0.21  0.237
3AKBA      166  XRAY       1.5  0.211  0.232
1NTVA      152  XRAY       1.5  0.213  0.245
1FGYA      127  XRAY       1.5  0.213  0.247
1SX5A      244  XRAY       1.5  0.214  0.254
3KB5A      193  XRAY       1.5  0.219  0.237
2RKLA       53  XRAY       1.5  0.222  0.249
2V8IA      543  XRAY       1.5  0.223  0.243
1YP0A      239  XRAY       1.5  0.223  0.231
4W8PA      301  XRAY       1.5  0.224  0.242
3GEFA      118  XRAY       1.5  0.229  0.253
1ZHVA      134  XRAY       1.5  0.241  0.249
4NG0A       97  XRAY     1.501  0.159  0.187
5KVCA      254  XRAY     1.501  0.172  0.196
5H9IA      240  XRAY     1.501  0.173  0.205
5H0QA      202  XRAY     1.501  0.184  0.219
5XNEA      235  XRAY     1.501  0.197  0.227
1AH7A      245  XRAY     1.501  0.203  0.231
6S09F      166  XRAY     1.502   0.17  0.206
6LKKA      294  XRAY     1.502  0.176  0.196
3L51B      166  XRAY     1.506  0.146  0.173
5E5YA       63  XRAY     1.506  0.182  0.226
6BUMB      363  XRAY      1.51  0.127  0.141
4XLZA      267  XRAY      1.51  0.153  0.167
7O4CA      117  XRAY      1.51  0.165  0.208
6FMEA      506  XRAY      1.51  0.167  0.188
6VGWA      145  XRAY      1.51   0.17   0.19
3CY4B      154  XRAY      1.51  0.206  0.229
2VU1B      392  XRAY      1.51  0.216  0.247
5A99A      248  XRAY     1.511  0.169  0.228
7AGWB       71  XRAY     1.511  0.223  0.245
5BY8A      231  XRAY     1.515  0.148  0.191
5BY8B       85  XRAY     1.515  0.148  0.191
1C4QA       69  XRAY      1.52   0.17  0.194
3MWZA      115  XRAY      1.52  0.176  0.201
6VT2A      409  XRAY      1.52  0.178  0.193
6S8KA      437  XRAY      1.52  0.179  0.203
4O59O      332  XRAY      1.52   0.18  0.209
6FRWA      411  XRAY      1.52  0.181  0.209
2AHFA      377  XRAY      1.52  0.186  0.211
5C7QA      182  XRAY      1.52  0.188  0.215
7BBLD       87  XRAY     1.521  0.208  0.251
4KMNA      103  XRAY     1.523  0.161  0.199
5JODA      375  XRAY     1.528   0.18  0.209
5DNLA      176  XRAY      1.53  0.136  0.149
6ET0D      283  XRAY      1.53   0.14  0.158
1H16A      759  XRAY      1.53  0.145  0.163
5ZZAA      373  XRAY      1.53  0.152  0.179
5TSQA      312  XRAY      1.53  0.154  0.169
6YYXA      429  XRAY      1.53  0.164  0.192
3DWGA      325  XRAY      1.53  0.178  0.217
1USGA      346  XRAY      1.53  0.191  0.216
5ICVA      180  XRAY      1.53  0.191  0.208
3LRTB      286  XRAY     1.534  0.188   0.22
7NYNAAA     63  XRAY     1.537  0.138   0.18
6SMWD      480  XRAY      1.54  0.129  0.166
1S3DA      138  XRAY      1.54  0.138  0.199
4P5PA      225  XRAY      1.54  0.149  0.194
3P3OA      416  XRAY      1.54  0.158  0.188
1YB6A      256  XRAY      1.54  0.167  0.182
5Y33A      260  XRAY      1.54  0.168  0.193
2HUHA      147  XRAY      1.54  0.168  0.192
6QJAA      157  XRAY      1.54  0.172  0.215
1DYPA      271  XRAY      1.54  0.178  0.193
3VZXB      228  XRAY      1.54  0.182  0.225
6MRSA       77  XRAY     1.541  0.171  0.198
4W78C      178  XRAY     1.541  0.177  0.205
4W78F      127  XRAY     1.541  0.177  0.205
6JQ8A      225  XRAY     1.546  0.208  0.229
6VTBA      340  XRAY     1.547  0.164  0.195
6NAUA      334  XRAY      1.55  0.127  0.156
6I9WA      259  XRAY      1.55  0.139  0.159
5WPBA      102  XRAY      1.55  0.144  0.162
3TOSB      257  XRAY      1.55  0.147  0.173
5IGHA      301  XRAY      1.55  0.151  0.164
4BYZA      194  XRAY      1.55  0.152  0.198
5JKJA      370  XRAY      1.55  0.153   0.18
5YRVG      554  XRAY      1.55  0.155  0.181
1TCAA      317  XRAY      1.55  0.157  NA   
4OM8A      309  XRAY      1.55  0.157  0.188
6VJRA      502  XRAY      1.55  0.158  0.175
5V76A      206  XRAY      1.55  0.158  0.171
4V1GB       86  XRAY      1.55  0.159   0.18
3TT9A      233  XRAY      1.55   0.16  0.192
5B6CA      174  XRAY      1.55   0.16    0.2
4U5RB      152  XRAY      1.55  0.161  0.175
3HOIA      193  XRAY      1.55  0.162  0.187
6HFMB      167  XRAY      1.55  0.162  0.186
6JLEE       50  XRAY      1.55  0.162  0.186
4PQQA      156  XRAY      1.55  0.163  0.176
6R62A      252  XRAY      1.55  0.165  0.185
3C7MA      195  XRAY      1.55  0.165  0.189
6HN1A      583  XRAY      1.55  0.166  0.239
4O6GA      174  XRAY      1.55  0.166  0.177
6K2FA      138  XRAY      1.55  0.167  0.187
4W64A      171  XRAY      1.55   0.17  0.198
7ATRA      580  XRAY      1.55  0.171  0.185
6EHBC      320  XRAY      1.55  0.172  0.199
1PMJX      185  XRAY      1.55  0.172  0.174
1MV8A      436  XRAY      1.55  0.175  0.194
4AG7A      165  XRAY      1.55   0.18  0.214
3JYZA      150  XRAY      1.55   0.18  0.209
5NJOA      121  XRAY      1.55  0.181  0.201
3R2KA      154  XRAY      1.55  0.182  0.206
4JA8A      416  XRAY      1.55  0.183  0.218
1EJDA      419  XRAY      1.55  0.185  0.207
3FWGB      405  XRAY      1.55  0.186  0.217
2ONSA      314  XRAY      1.55  0.186  0.201
2D3YA      219  XRAY      1.55  0.186   0.21
7DE5A      595  XRAY      1.55  0.187  0.226
2F1KA      279  XRAY      1.55   0.19  0.222
3AI9X      211  XRAY      1.55  0.192  0.237
4QY7A       93  XRAY      1.55  0.192  0.223
1EJ8A      140  XRAY      1.55  0.196  0.258
6W3WA      107  XRAY      1.55  0.199  0.228
2V33A       91  XRAY      1.55  0.199  0.226
5LC7B       97  XRAY      1.55    0.2  0.239
6GV5A      126  XRAY      1.55  0.204   0.23
3PO0A       89  XRAY      1.55  0.204  0.243
1JKEA      145  XRAY      1.55  0.209  0.228
1D2SA      170  XRAY      1.55   0.21  0.251
3WJTA      178  XRAY      1.55  0.215  0.239
1EVLA      401  XRAY      1.55   0.22  0.226
4L1YA      280  XRAY      1.55  0.222  0.259
5KEHA      242  XRAY     1.551  0.149  0.179
6BLKC      158  XRAY     1.552  0.186  0.221
6CKAA       68  XRAY     1.559  0.164  0.183
4QA9A      388  XRAY      1.56  0.123  0.151
6JALA      416  XRAY      1.56  0.128   0.15
2FC3A      124  XRAY      1.56  0.177  0.226
1EYHA      144  XRAY      1.56   0.21  0.226
4G6TA      128  XRAY      1.56  0.211   0.23
6H4EA      295  XRAY     1.561  0.167  0.181
6HYYA      221  XRAY     1.566  0.196  0.226
5JVMA       82  XRAY     1.567  0.179  0.205
5TW4A      359  XRAY      1.57  0.157  0.177
5E7HA      260  XRAY      1.57  0.157  0.171
5AMVA      399  XRAY      1.57  0.161  0.193
1DK8A      147  XRAY      1.57  0.172  0.198
5N0GA      208  XRAY      1.57  0.175  0.238
6ZS2A      121  XRAY      1.57  0.181  0.215
6KITA      157  XRAY      1.57  0.185  0.217
3GDPA      521  XRAY      1.57  0.186   0.21
1A8DA      452  XRAY      1.57  0.187  0.262
3OOOA      132  XRAY      1.57  0.188  0.215
6I6UB      105  XRAY      1.57   0.21  0.256
4ZV5A       91  XRAY      1.57  0.228  0.263
6L8SA      650  XRAY      1.58  0.151  0.186
6SIGB       51  XRAY      1.58  0.158  0.175
6K0LB      107  XRAY      1.58   0.16  0.193
6O2VA      135  XRAY      1.58  0.167  0.203
6F5TA      330  XRAY      1.58  0.179  0.198
7O78B      492  XRAY      1.58   0.18   0.21
1WWIA      148  XRAY      1.58  0.186  0.196
6J4KA       60  XRAY      1.58  0.193  0.217
4U5HG       90  XRAY      1.58  0.195  0.211
4E2UA      168  XRAY     1.582  0.168  0.195
5Z51B       71  XRAY     1.583  0.183  0.209
4R6WA      258  XRAY     1.589  0.161  0.188
7M5FA       98  XRAY      1.59  0.142  0.167
1R9LA      309  XRAY      1.59   0.15  0.186
3RBAA      157  XRAY      1.59  0.159  0.206
3NREA      291  XRAY      1.59  0.162   0.19
4PIDA      204  XRAY      1.59  0.166  0.189
5EL3B      113  XRAY      1.59  0.178  0.205
3FGYA      135  XRAY      1.59  0.184  0.211
6GZMB      295  XRAY      1.59  0.192   0.25
6IY4I       93  XRAY      1.59   0.21  0.218
4ZPCA      462  XRAY      1.59  0.213   0.23
5YVXA       60  XRAY     1.591  0.169  0.184
6H0CA      406  XRAY     1.592  0.148  0.148
6NUHA      226  XRAY     1.594  0.145  0.177
5CIYA      327  XRAY     1.594  0.166  0.188
6O19A       59  XRAY     1.596  0.182  0.203
5HQTA      235  XRAY     1.598  0.185  0.221
3FIQB      157  XRAY     1.599  0.141  0.181
5CTDC       72  XRAY     1.599  0.179  0.203
4TKXL      452  XRAY       1.6  0.122  0.145
6OP3A      477  XRAY       1.6  0.128  0.152
3TFJA      369  XRAY       1.6  0.128  0.176
4PUQA      256  XRAY       1.6  0.131  0.171
1CCWB      483  XRAY       1.6  0.137  0.173
4H17A      197  XRAY       1.6  0.137  0.156
1CCWA      137  XRAY       1.6  0.137  0.173
2W8XA       72  XRAY       1.6   0.14  0.173
6R5TA      733  XRAY       1.6  0.141  0.168
5IX8B      321  XRAY       1.6  0.141  0.181
4F6TB      268  XRAY       1.6  0.142  0.173
2NW0A      189  XRAY       1.6  0.151  0.195
4TPVA      182  XRAY       1.6  0.152  0.194
3CIPG      128  XRAY       1.6  0.152  0.197
2GPIA       91  XRAY       1.6  0.152  0.172
3OZ2A      397  XRAY       1.6  0.154  0.171
2B5WA      357  XRAY       1.6  0.154  0.186
3N1FD      102  XRAY       1.6  0.155  0.189
2ZKDA      210  XRAY       1.6  0.156  0.185
6J3BA      366  XRAY       1.6  0.158  0.176
3FJUB       65  XRAY       1.6  0.158    0.2
2XXNA      143  XRAY       1.6  0.159  0.174
2QUDA      125  XRAY       1.6  0.159  0.197
6JM5A      123  XRAY       1.6  0.159  0.207
4RWWA      113  XRAY       1.6  0.159  0.194
1E6YC      247  XRAY       1.6   0.16  0.179
3JX7A      232  XRAY       1.6   0.16  0.183
6CCRA      186  XRAY       1.6   0.16  0.187
2C6UA      122  XRAY       1.6  0.161  0.198
3D78A      119  XRAY       1.6  0.161  0.206
3O79B      105  XRAY       1.6  0.161  0.218
7MCTH      380  XRAY       1.6  0.162  0.172
4R73A      321  XRAY       1.6  0.162  0.194
5IXGB      169  XRAY       1.6  0.162  0.194
4MAEA      577  XRAY       1.6  0.163  0.189
5ICEA      352  XRAY       1.6  0.164  0.197
4ESWA      342  XRAY       1.6  0.164  0.191
6FL1A      271  XRAY       1.6  0.164  0.178
2DT4A      143  XRAY       1.6  0.165  0.193
6ZFLV       96  XRAY       1.6  0.165  0.186
7D5GA      389  XRAY       1.6  0.168  0.202
3MOZA      314  XRAY       1.6  0.168  0.184
4PHJA      173  XRAY       1.6  0.168    0.2
2XETA       89  XRAY       1.6  0.168  0.209
2IXLC      197  XRAY       1.6  0.169  0.212
1T4BA      367  XRAY       1.6   0.17  0.199
3MVIA      349  XRAY       1.6   0.17  0.205
4QXBA      329  XRAY       1.6   0.17  0.207
5B1BC      259  XRAY       1.6   0.17  0.191
1UFOA      238  XRAY       1.6   0.17  0.207
5B1BE      105  XRAY       1.6   0.17  0.191
5B1BG       84  XRAY       1.6   0.17  0.191
5B1BH       79  XRAY       1.6   0.17  0.191
4QXBB       68  XRAY       1.6   0.17  0.207
5B1BL       46  XRAY       1.6   0.17  0.191
2ZS0C      147  XRAY       1.6  0.171  0.198
3H6JA      438  XRAY       1.6  0.172  0.191
6FTOA       66  XRAY       1.6  0.172  0.198
3A3DA      453  XRAY       1.6  0.173  0.204
1FIUA      286  XRAY       1.6  0.173  0.204
4GFXA      151  XRAY       1.6  0.174  0.227
6BXRA      273  XRAY       1.6  0.175  0.213
3M66A      270  XRAY       1.6  0.175  0.199
1NFPA      228  XRAY       1.6  0.175  NA   
1NMYA      209  XRAY       1.6  0.175   0.22
5BQ1A      209  XRAY       1.6  0.175  0.199
4EQAA      146  XRAY       1.6  0.175  0.206
6GPZA       63  XRAY       1.6  0.175  0.204
3W0KA      330  XRAY       1.6  0.176  0.188
5H7EA      182  XRAY       1.6  0.176  0.196
2R4IA      123  XRAY       1.6  0.176  0.199
5YDNA      109  XRAY       1.6  0.176  0.206
1RU4A      400  XRAY       1.6  0.177  0.186
6HY1A      281  XRAY       1.6  0.177    0.2
4O7HA      222  XRAY       1.6  0.177  0.198
4XRMB       64  XRAY       1.6  0.177  0.211
1UF5A      303  XRAY       1.6  0.178  0.198
2IFVA      175  XRAY       1.6  0.179  0.192
4U7EB      163  XRAY       1.6  0.179  0.201
2WZOA      146  XRAY       1.6  0.179  0.202
2ET1A      201  XRAY       1.6   0.18  0.206
2DG5B      190  XRAY       1.6   0.18  0.195
2AYDA       76  XRAY       1.6   0.18  0.204
3GAEA      253  XRAY       1.6  0.181  0.215
2J43A      219  XRAY       1.6  0.181  0.216
2OU5A      175  XRAY       1.6  0.181  0.221
3CZXA      182  XRAY       1.6  0.182  0.218
2DJIA      590  XRAY       1.6  0.183  0.206
4D5AA      406  XRAY       1.6  0.183  0.211
4ZJHA      208  XRAY       1.6  0.183  0.217
4QB4A      136  XRAY       1.6  0.183  0.236
1ZJAA      557  XRAY       1.6  0.184  0.219
3WUCB      137  XRAY       1.6  0.184  0.217
5AN4A      312  XRAY       1.6  0.185  0.214
3MB5A      255  XRAY       1.6  0.185  0.199
3NVWB      334  XRAY       1.6  0.186  0.212
3E48B      289  XRAY       1.6  0.186  0.205
1TZWA      142  XRAY       1.6  0.187  0.223
4NTKA      121  XRAY       1.6  0.187  0.217
6H2UB      118  XRAY       1.6  0.187  0.215
1WQJB       80  XRAY       1.6  0.187  0.255
1FT5A      211  XRAY       1.6  0.188  0.215
1G8QA       90  XRAY       1.6  0.188  0.238
3AAPA      353  XRAY       1.6  0.189  0.207
4S1HA      287  XRAY       1.6  0.189  0.219
7CIWA      216  XRAY       1.6  0.189  0.234
1IU8A      206  XRAY       1.6  0.189  0.214
3FH2A      146  XRAY       1.6  0.191  0.231
4PZJA       70  XRAY       1.6  0.191  0.213
2WT8A       97  XRAY       1.6  0.192  0.222
1EUVA      221  XRAY       1.6  0.193  0.251
2CCQA       99  XRAY       1.6  0.193  0.206
3MILA      240  XRAY       1.6  0.194  0.218
5DHEA      100  XRAY       1.6  0.194  0.209
3PVHA      153  XRAY       1.6  0.195   0.23
5NVIA      148  XRAY       1.6  0.195   0.23
6G3CA      272  XRAY       1.6  0.196   0.22
3BS1A      103  XRAY       1.6  0.196  0.221
2FJ9A       86  XRAY       1.6  0.196  0.229
1MK0A       97  XRAY       1.6  0.197  0.216
5T1IA       68  XRAY       1.6  0.197  0.239
4YDRA      304  XRAY       1.6  0.198  0.228
3QP8B      184  XRAY       1.6  0.199   0.23
6FS1A      150  XRAY       1.6    0.2  0.226
1ZKED       83  XRAY       1.6    0.2  0.232
2BEQD       48  XRAY       1.6  0.201  0.241
2CPGB       45  XRAY       1.6  0.202  0.277
2BEZC       77  XRAY       1.6  0.208  0.244
1GVPA       87  XRAY       1.6  0.209  0.288
1IT2A      146  XRAY       1.6  0.211  0.241
1G6GA      127  XRAY       1.6  0.211  0.244
2B9DA       52  XRAY       1.6  0.212  0.252
3HCNA      359  XRAY       1.6  0.214  0.236
1I60A      278  XRAY       1.6  0.214  0.228
1HQKA      154  XRAY       1.6  0.216  0.236
1VCCA       77  XRAY       1.6  0.218  0.287
1Y1PA      342  XRAY       1.6   0.22  0.239
3S57A      204  XRAY       1.6  0.221  0.202
3OV9A      245  XRAY       1.6  0.223  0.254
1I58A      189  XRAY       1.6  0.223  0.262
1KAFA      108  XRAY       1.6  0.226  0.258
3JSYA      213  XRAY       1.6  0.229  0.233
1BTKB      169  XRAY       1.6  0.231  0.282
5NMZA      101  XRAY       1.6  0.232  0.264
1S29A       92  XRAY       1.6  0.235   0.25
1F2UA      149  XRAY       1.6  0.238  0.282
2IN0A      139  XRAY       1.6  0.245  0.275
4QMDA      193  XRAY     1.601  0.172  0.205
4QJVA      259  XRAY     1.601   0.18  0.211
4QJVB       94  XRAY     1.601   0.18  0.211
5X4TA      350  XRAY     1.601  0.212  0.246
6DNVB      125  XRAY     1.603  0.173  0.197
1LQAA      346  XRAY     1.604  0.146  0.186
5M89B      329  XRAY     1.605  0.166  0.186
3LYGA      120  XRAY      1.61  0.152  0.181
3Q1NA      294  XRAY      1.61  0.157  0.182
7O74A      156  XRAY      1.61  0.164   0.19
3RF3B      258  XRAY      1.61  0.184  0.195
5M2YA      130  XRAY      1.61  0.198  0.199
7JX6A      104  XRAY      1.61  0.202  0.233
5USBA      139  XRAY     1.615  0.177  0.203
4H0CA      210  XRAY      1.62  0.139  0.194
4WQMA      326  XRAY      1.62  0.147  0.189
4KQCA      319  XRAY      1.62  0.153  0.188
5OASA      728  XRAY      1.62  0.168  0.193
6O4OA      169  XRAY      1.62  0.177  0.208
5GMBA      171  XRAY      1.62  0.179  0.204
1HTRP       43  XRAY      1.62  0.179  NA   
6ZUSA      143  XRAY      1.62  0.185  0.197
1WOLA      122  XRAY      1.62  0.187  0.222
6MXYA      123  XRAY     1.624  0.181  0.213
4WKSC      548  XRAY     1.629  0.159   0.19
1GNYA      153  XRAY      1.63  0.152  0.177
6ID6A      302  XRAY      1.63  0.155  0.187
4RLQB      519  XRAY      1.63   0.16  0.193
6V3YA      359  XRAY      1.63  0.167  0.193
6DEYA      141  XRAY      1.63   0.17  0.197
3SXKA      140  XRAY      1.63  0.171  0.192
5C50A      198  XRAY      1.63  0.177  0.195
6TM6A       97  XRAY      1.63  0.177  0.211
4Y0HD      463  XRAY      1.63  0.178  0.203
1UGPA      203  XRAY      1.63  0.183  0.197
1K77A      260  XRAY      1.63  0.196  0.214
6RZOA      344  XRAY     1.632  0.171  0.195
6F7DA      538  XRAY     1.634   0.16  0.188
6ENOA      421  XRAY     1.635  0.174  0.213
5AF1B      451  XRAY     1.639  0.137  0.159
3GGHA      275  XRAY     1.639    0.2  0.224
1G8KB      133  XRAY      1.64  0.154  0.179
6O1HB      395  XRAY      1.64  0.156  0.199
4WSJB      445  XRAY      1.64  0.166  0.194
7MC5A      287  XRAY      1.64  0.168  0.197
4QT6A      159  XRAY      1.64  0.171  0.212
3KZ3A       80  XRAY      1.64  0.189  NA   
4HO4B      297  XRAY      1.64  0.194  0.223
4Z8TB       98  XRAY      1.64  0.203  0.222
1YW9A      369  XRAY      1.64  0.225  0.246
6BDEA      185  XRAY     1.641  0.212  0.236
6JQYA       44  XRAY     1.643  0.197  0.232
7NDJB      192  XRAY     1.649  0.176  0.208
5KIJA      452  XRAY     1.649  0.184  0.222
5WCKA      263  XRAY      1.65  0.127  0.158
5VNXA      393  XRAY      1.65  0.146  0.167
6G50A      467  XRAY      1.65  0.147  0.207
4D05A      258  XRAY      1.65  0.147  0.192
3OOSA      278  XRAY      1.65  0.149  0.182
6PA3A      334  XRAY      1.65   0.15  0.184
1SDIA      213  XRAY      1.65   0.15  0.184
3ZK4B      571  XRAY      1.65  0.151  0.175
3V3LB       85  XRAY      1.65  0.153  0.181
2Z30B       65  XRAY      1.65  0.153  0.184
7S14B      223  XRAY      1.65  0.154  0.191
5JBRA      149  XRAY      1.65  0.155  0.199
3ZNUA       94  XRAY      1.65  0.158  0.191
3P3VB      163  XRAY      1.65   0.16  0.194
2P97A      201  XRAY      1.65  0.162  0.189
4ZQAA       86  XRAY      1.65  0.163  0.209
4ZACA      503  XRAY      1.65  0.164  0.192
1CSHA      435  XRAY      1.65  0.164  NA   
7A11A      259  XRAY      1.65  0.166  0.207
7NBIB      138  XRAY      1.65  0.166  0.203
5LY9A      368  XRAY      1.65  0.167  0.205
2Q35A      243  XRAY      1.65  0.169  0.204
7AS3A      171  XRAY      1.65  0.171   0.22
6UN8B      253  XRAY      1.65  0.174  0.198
7CRJA      264  XRAY      1.65  0.175  0.195
1UDCA      338  XRAY      1.65  0.177  NA   
4X43B      108  XRAY      1.65  0.177  0.218
4R9IA      378  XRAY      1.65  0.179  0.207
5GW9A      163  XRAY      1.65  0.179  0.218
5JABA      135  XRAY      1.65   0.18  0.217
1JAYA      212  XRAY      1.65  0.182  0.206
2A7BA      120  XRAY      1.65  0.183  0.228
1SBXA      106  XRAY      1.65  0.184  0.206
3M86A      111  XRAY      1.65  0.185  0.214
4L0CA      255  XRAY      1.65  0.186  0.211
1IBYA      112  XRAY      1.65  0.186  0.216
1DTDB       61  XRAY      1.65  0.187  0.234
2E2OA      299  XRAY      1.65  0.188  0.218
3BKZA      201  XRAY      1.65  0.189  0.212
2CVLA      124  XRAY      1.65  0.189  0.227
2BBAA      185  XRAY      1.65   0.19  0.191
7A76A      326  XRAY      1.65  0.191  0.218
2Z3VA      137  XRAY      1.65  0.193  0.222
2XOVA      181  XRAY      1.65  0.194  0.218
5IB0A      137  XRAY      1.65  0.194  0.207
6PX4T      142  XRAY      1.65  0.195  0.225
6PIRB      137  XRAY      1.65  0.197  0.237
1DHNA      121  XRAY      1.65  0.197  0.252
6PTXA      481  XRAY      1.65  0.198  0.228
6XP8A      217  XRAY      1.65  0.198  0.234
2OITA      434  XRAY      1.65  0.199  0.237
3AKCA      208  XRAY      1.65  0.199   0.22
3QQIA      219  XRAY      1.65  0.201  0.234
2Y44A      184  XRAY      1.65  0.202  0.251
2HC8A      113  XRAY      1.65  0.202  0.228
2PU9A      110  XRAY      1.65  0.205  0.231
2VKJA      106  XRAY      1.65  0.205  0.229
6DXSA      342  XRAY      1.65  0.206  0.266
3D10A       92  XRAY      1.65  0.212  0.275
1W0DA      337  XRAY      1.65  0.213  0.241
4DGMA      326  XRAY      1.65  0.213  0.252
1UEBA      184  XRAY      1.65  0.213  0.241
3F4WA      211  XRAY      1.65  0.214   0.25
1HXRB      115  XRAY      1.65  0.214  0.256
6FY5A      198  XRAY      1.65  0.216  0.244
1XW3A      110  XRAY      1.65  0.216  0.258
2J7JA       85  XRAY      1.65  0.218  0.228
4LFLB      172  XRAY      1.65  0.221  0.242
2ZE3A      275  XRAY      1.65  0.223  0.234
6HIKL       41  XRAY      1.65  0.225  0.237
1L6XA      207  XRAY      1.65  0.242  0.284
4TJVA      165  XRAY     1.651  0.168   0.19
4J8LA      361  XRAY     1.651  0.171  0.195
5B3PA      134  XRAY     1.652  0.172  0.209
3ZEUB      337  XRAY     1.653   0.16  0.186
4MZAB      437  XRAY     1.653  0.168  0.198
5FVKA       82  XRAY     1.658  0.186  0.222
3CNHA      200  XRAY      1.66  0.161  0.187
4IABA      142  XRAY      1.66  0.164  0.184
3BDVA      191  XRAY      1.66  0.173  0.213
2W43A      201  XRAY      1.66  0.178  0.221
4K7CA      446  XRAY      1.66  0.179   0.21
5IWGA      368  XRAY      1.66  0.186  0.208
6NY9B      250  XRAY      1.66  0.196  0.219
4CVDA       48  XRAY     1.666  0.172  0.219
4D40A       89  XRAY     1.669  0.182  0.207
6M8TA      189  XRAY      1.67  0.149  0.174
4ZA3B      260  XRAY      1.67  0.161  0.183
1DOSA      358  XRAY      1.67  0.171  0.204
5GPGB       93  XRAY      1.67  0.176  0.212
6A7VC      139  XRAY      1.67  0.184  0.209
6A7VD       62  XRAY      1.67  0.184  0.209
6T40B      244  XRAY      1.67   0.19  0.191
6T40C      243  XRAY      1.67   0.19  0.191
2ZYJA      397  XRAY      1.67  0.196  0.246
3JXBC       67  XRAY      1.67  0.198  0.226
4KRGA      466  XRAY      1.68  0.123   0.14
1NS5B      155  XRAY      1.68  0.145  0.213
3RU4B       61  XRAY      1.68  0.159  0.192
3DHIE      103  XRAY      1.68  0.169  0.202
1OJQA      212  XRAY      1.68   0.17  0.237
3L8HA      179  XRAY      1.68  0.174    0.2
6S3FA       65  XRAY      1.68  0.184  0.231
5Z4TA      309  XRAY      1.68  0.185   0.21
5HKCA      114  XRAY      1.68  0.203  0.232
1EU3A      210  XRAY      1.68  0.207   0.23
5C5DD      159  XRAY      1.69  0.156   0.19
6FXQD      250  XRAY      1.69  0.179  0.214
3FKAB      120  XRAY      1.69  0.181    0.2
2BK8A       97  XRAY      1.69  0.191  0.234
2EB6A      267  XRAY      1.69  0.195  0.213
3A0WA      152  XRAY      1.69  0.214   0.24
5T2PB      155  XRAY     1.693   0.18  0.208
5CPGA      155  XRAY     1.694  0.175  0.219
5GXEA      331  XRAY     1.696  0.169  0.198
6C37A      209  XRAY     1.696  0.193  0.212
5GUQC      149  XRAY     1.697  0.199  0.235
3M84B      350  XRAY     1.699  0.155  0.183
5A4AA      208  XRAY     1.699  0.169  0.195
2PFXA      191  XRAY       1.7  0.117  0.165
7APPA      269  XRAY       1.7  0.128  0.154
4JHLA      219  XRAY       1.7  0.133  0.164
6NW5A      331  XRAY       1.7  0.144  0.164
3UWSB      228  XRAY       1.7  0.144  0.175
2CCHB      260  XRAY       1.7   0.15  0.182
4XB6B      194  XRAY       1.7   0.15  0.176
4WA0A      358  XRAY       1.7  0.152  0.194
1ASUA      162  XRAY       1.7  0.152  0.188
4JUIA      470  XRAY       1.7  0.153   0.18
4CNLA      182  XRAY       1.7  0.153   0.19
3GAGA      206  XRAY       1.7  0.154  0.188
2Z9WA      392  XRAY       1.7  0.155  0.181
3WY8A      219  XRAY       1.7  0.155  0.181
5TDEB      324  XRAY       1.7  0.157  0.184
5D3KA      269  XRAY       1.7  0.158  0.187
2GDMA      153  XRAY       1.7  0.158  NA   
3NECC      166  XRAY       1.7  0.159  0.196
5F9SB      386  XRAY       1.7  0.161  0.205
5N40A      352  XRAY       1.7  0.161  0.195
6FJ4A      283  XRAY       1.7  0.161  0.178
2OD4A      101  XRAY       1.7  0.161  0.193
1QCXA      359  XRAY       1.7  0.162  0.198
3IHVA      535  XRAY       1.7  0.163  0.193
3LUMA      262  XRAY       1.7  0.163  0.195
4WHIA      102  XRAY       1.7  0.163  0.205
1W8OA      601  XRAY       1.7  0.164  0.197
2ONFA      140  XRAY       1.7  0.164  0.201
4ESQA      194  XRAY       1.7  0.165  0.197
5XI8A      175  XRAY       1.7  0.166  0.194
1JHDA      396  XRAY       1.7  0.167  0.205
5GT9B      263  XRAY       1.7  0.167  0.201
1YOCB      147  XRAY       1.7  0.167    0.2
5BNHA      123  XRAY       1.7  0.167  0.214
5B5QA      243  XRAY       1.7  0.168  0.213
5IZEA      180  XRAY       1.7  0.168  0.216
5OCPA      302  XRAY       1.7  0.169  0.204
5MK2B      361  XRAY       1.7  0.171  0.203
4WJMA      312  XRAY       1.7  0.171  0.195
6NNWA      208  XRAY       1.7  0.172  0.204
5EINA      344  XRAY       1.7  0.173   0.21
4Z49B      282  XRAY       1.7  0.173  0.212
1GU7A      364  XRAY       1.7  0.174  0.192
1Y7RA      133  XRAY       1.7  0.174  0.219
3GWMA      129  XRAY       1.7  0.174  0.203
5E3EB      114  XRAY       1.7  0.174  0.202
6IPTA      120  XRAY       1.7  0.175  0.221
1HP1A      516  XRAY       1.7  0.176  0.199
6FJLA      345  XRAY       1.7  0.176  0.206
6DB2A      336  XRAY       1.7  0.176    0.2
